feminino,masculino,menor de 18,entre 18 e 30,mais de 30,estuda,trabalha,acessa a internet,acessa diariamente,utiliza rede social,para lazer,para trabalho,para comunicar,usa 1 hora,usa 2 horas,usa 5 horas,usa +8 horas,utiliza em 5 dias,acessa em casa,acessa no trab,atualiza o perfil no trabalho,acessa na escola,importante políticas de uso em sala,ja foi prejudicado,ja reclamou de empresa,ja realizou compra,sao eficientes na divulgacao,tiram a privacidade,influencia as opinioes
True,False,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,False,True
True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,True,True
False,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True
True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True
False,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True
False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,False,True
False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,False
True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True
False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True
False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True
False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True
True,False,False,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True
True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True
True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True
False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True
False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True
True,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False
False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True
True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True
True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,False,True
True,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True
False,True,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,True
True,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True
True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True
True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False
True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True
False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,False,True
False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True
True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True
True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True
False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True
True,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True